[11/Feb/2021 20:41:19] INFO [django.utils.autoreload:613] Watching for file changes with StatReloader
[11/Feb/2021 20:41:19] DEBUG [django.utils.autoreload:300] Waiting for apps ready_event.
[11/Feb/2021 20:41:21] DEBUG [django.utils.autoreload:312] Apps ready_event triggered. Sending autoreload_started signal.
[11/Feb/2021 20:41:21] DEBUG [django.utils.autoreload:266] Watching dir /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/locale with glob **/*.mo.
[11/Feb/2021 20:41:21] DEBUG [django.utils.autoreload:266] Watching dir /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/auth_app/locale with glob **/*.mo.
[11/Feb/2021 20:41:21] DEBUG [django.utils.autoreload:266] Watching dir /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/rest_framework/locale with glob **/*.mo.
[11/Feb/2021 20:41:21] DEBUG [django.utils.autoreload:266] Watching dir /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/knox/locale with glob **/*.mo.
[11/Feb/2021 20:41:21] DEBUG [django.utils.autoreload:266] Watching dir /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/corsheaders/locale with glob **/*.mo.
[11/Feb/2021 20:41:21] DEBUG [django.utils.autoreload:266] Watching dir /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/api_admin/locale with glob **/*.mo.
[11/Feb/2021 20:41:21] DEBUG [django.utils.autoreload:266] Watching dir /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/api_chef/locale with glob **/*.mo.
[11/Feb/2021 20:41:21] DEBUG [django.utils.autoreload:266] Watching dir /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/api_waiter/locale with glob **/*.mo.
[11/Feb/2021 20:41:21] DEBUG [django.utils.autoreload:266] Watching dir /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/queue.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/lib-dynload/_json.cpython-38-x86_64-linux-gnu.so first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/utils/dateparse.py first seen with mtime 1603993651.2919202
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/rest_framework/schemas/inspectors.py first seen with mtime 1603994004.641138
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/my_restaurant_app/__init__.py first seen with mtime 1603998346.1215234
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/rest_framework/schemas/__init__.py first seen with mtime 1603994004.6241527
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/test/utils.py first seen with mtime 1603993651.273968
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/asyncio/coroutines.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/http/__init__.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/asyncio/base_subprocess.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/db/migrations/migration.py first seen with mtime 1603993651.086683
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/cryptography/hazmat/backends/__init__.py first seen with mtime 1604002557.853398
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/http/response.py first seen with mtime 1603993651.2241008
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/asgiref/local.py first seen with mtime 1603993640.8821914
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/contrib/admin/utils.py first seen with mtime 1603993647.3456688
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/markdown/blockprocessors.py first seen with mtime 1603994006.3108294
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/contrib/admin/helpers.py first seen with mtime 1603993647.340685
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/operator.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/api_admin/Ingredient/models/IngredientModel.py first seen with mtime 1607008308.2398672
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/db/models/manager.py first seen with mtime 1603993651.117602
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/http/server.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/threading.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1603993648.0016959
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/core/management/sql.py first seen with mtime 1603993650.9789732
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/xml/etree/__init__.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/api_waiter/Order/Order_Dish/Views/GetAndPost.py first seen with mtime 1608757896.1002767
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/cryptography/exceptions.py first seen with mtime 1604002557.8431897
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/db/backends/signals.py first seen with mtime 1603993651.022854
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/api_admin/Table/Model/ModelTable.py first seen with mtime 1608757894.7650573
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/core/servers/__init__.py first seen with mtime 1603993651.014877
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/asyncio/unix_events.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/pickle.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/db/models/indexes.py first seen with mtime 1603993651.1156073
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/contrib/messages/__init__.py first seen with mtime 1603993649.8041134
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/lib/python3.8/site-packages/django/contrib/staticfiles/management/commands/runserver.py first seen with mtime 1603993650.91614
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/asyncio/tasks.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/urllib/error.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/ssl.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /mnt/d/Devs/MyRestaurantApp/backend/my_restaurant_app/manage.py first seen with mtime 1610042180.0933528
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/email/__init__.py first seen with mtime 1595941180.0
[11/Feb/2021 20:41:23] DEBUG [django.utils.autoreload:364] File /usr/lib/python3.8/asyncio/subprocess.py first seen with mtime 1595941180.0
